stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,vehicle_type
1:RIGINE,,Ginèbre,,42.77980420,2.87789740,,,1,,0,
1:PEGIRA,,Giral,,42.71497690,2.88850000,,,1,,0,
1:CNGRAN,,Grand Large,,42.68708800,3.03170750,,,1,,0,
1:PEGRAN,,Grande-Bretagne,,42.69866940,2.87605360,,,1,,0,
1:BOGRAN,,Granja,,42.73322460,2.93919300,,,1,,0,
1:CAGREN,,Grenache,,42.64999250,2.83080950,,,1,,0,
1:PEGMET,,Guillaumet,,42.73077370,2.86889140,,,1,,0,
1:PEGUIL,,Guillaut,,42.69062400,2.89378740,,,1,,0,
1:SOGUYM,,Guy Malé,,42.68187320,2.79634540,,,1,,0,
1:PEGUYN,,Guynemer,,42.68885060,2.90697760,,,1,,0,
1:PEGERO,,Gérone,,42.66691930,2.88275150,,,1,,0,
1:BOHALL,,Halle aux Sports,,42.73431230,2.93081250,,,1,,0,
1:PEHAMB,,Hambourg,,42.67856970,2.85164210,,,1,,0,
1:CNHAME,,Hameau,,42.70642280,2.99238130,,,1,,0,
1:PEHAUT,,Haut-Vernet,,42.72858430,2.88835730,,,1,,0,
1:CNHERR,,Herriot,,42.69110300,3.03204930,,,1,,0,
1:PEHLM,,HLM St-Louis,,42.70555000,2.89215860,,,1,,0,
1:LBHOUR,,Hourtou,,42.79180350,3.03012740,,,1,,0,
1:PEHOPI,,Hôpital,,42.72562980,2.88747590,,,1,,0,
1:PEHOTE,,Hôtel de Police,,42.69948990,2.88351720,,,1,,0,
1:CNHOTV,,Hôtel de Ville,,42.70523790,3.00708430,,,1,,0,
1:SAHOTV,,Hôtel de Ville,,42.65504760,2.95350980,,,1,,0,
1:CAIRIS,,Iris,,42.64458680,2.83666400,,,1,,0,
1:PEIUT,,IUT,,42.68333740,2.89548160,,,1,,0,
1:PTJARD,,Jardin Exotique,,42.62497520,2.81851450,,,1,,0,
1:SOJEAN,,Jean Jaurès,,42.68317910,2.80231690,,,1,,0,
1:PEJMOU,,Jean Moulin,,42.69609830,2.89890150,,,1,,0,
1:CYJZAY,,Jean Zay,,42.68343510,2.94685940,,,1,,0,
1:TRJOFF,,Joffre,,42.75610960,2.99324890,,,1,,0,
1:PEJONQ,,Jonquère,,42.66393850,2.87963530,,,1,,0,
1:PEJOTG,,Jotglars,,42.69453040,2.89019870,,,1,,0,
1:PEJUGA,,Jugan,,42.67301360,2.90475360,,,1,,0,
1:PEJUIN,,Juin,,42.68823940,2.89669050,,,1,,0,
1:TRJUME,,Jumelage,,42.75560180,2.99563850,,,1,,0,
1:PEKENN,,Kennedy,,42.69038390,2.90176390,,,1,,0,
1:TOLABA,,La Basse,,42.67530820,2.83963820,,,1,,0,
1:PELABU,,La Butte,,42.68704220,2.89566150,,,1,,0,
1:PELACH,,La Chaumière,,42.69952580,2.91742980,,,1,,0,
1:PELALU,,La Lunette,,42.68962290,2.89953780,,,1,,0,
1:BOLAMA,,La Martine,,42.72640040,2.93590520,,,1,,0,
1:PYLAPE,,La Pépinière,,42.75492670,2.84853990,,,1,,0,
1:TRLASE,,La Serre,,42.76306800,3.02236910,,,1,,0,
1:LSLATO,,La Tourre,,42.77376550,3.01333500,,,1,,0,
1:RALAVI,,La Vigie,,42.63737870,2.91857910,,,1,,0,
1:TOLACA,,Lacaze,,42.66851420,2.83186250,,,1,,0,
1:PELAFF,,Laffon,,42.69022750,2.87994040,,,1,,0,
1:PELALA,,Lalande,,42.70834760,2.89464450,,,1,,0,
1:BOLMAN,,Lamans,,42.72574420,2.93211250,,,1,,0,
1:PELAMB,,Lambert,,42.71093370,2.89893930,,,1,,0,
1:PELVIN,,Langevin,,42.68753620,2.87173550,,,1,,0,
1:PELAN1,,Languedoc,,42.74060420,2.89186970,,,1,,0,
1:PELAN2,,Languedoc,,42.74029690,2.89188400,,,1,,0,
1:PELAN3,,Languedoc,,42.74066830,2.89200820,,,1,,0,
1:CNLASB,,Las Bigues,,42.70599590,3.01255760,,,1,,0,
1:CALASC,,Las Canals,,42.65684310,2.83812360,,,1,,0,
1:PELASC,,Las Cobas,,42.69574030,2.91933020,,,1,,0,
1:RIOLIV,,Las Solades,,42.78225900,2.87899600,,,1,,0,
1:PELASS,,Lassus,,42.70195190,2.90256450,,,1,,0,
1:LBLBAR,,Le Barcarès,,42.83903690,3.03652410,,,1,,0,
1:PELECH,,Le Chatelier,,42.69014550,2.90531810,,,1,,0,
1:BALECH,,Le Christ,,42.70097920,2.82183620,,,1,,0,
1:RALELA,,Le Lac,,42.64049400,2.90978500,,,1,,0,
1:CNLEMA,,Le Mail,,42.69921300,3.00631950,,,1,,0,
1:CNLEPO,,Le Ponant,,42.70397100,3.02159090,,,1,,0,
1:SOLSOL,,Le Soler,,42.67931230,2.77988860,,,1,,0,
1:SOMEDI,,Le Soler Méd,,42.68530380,2.81170930,,,1,,0,
1:PYLESA,,Les Avens,,42.75507350,2.85284840,,,1,,0,
1:PELCHE,,Les Chênes,,42.68785100,2.84002510,,,1,,0,
1:NALESF,,Les Fontaines,,42.68918610,2.99873550,,,1,,0,
1:PELESO,,Les Oiseaux,,42.71270030,2.88936070,,,1,,0,
1:PYORME,,Les Ormes,,42.75345270,2.85448910,,,1,,0,
1:SOLESS,,Les Sources,,42.68764300,2.82289860,,,1,,0,
1:PELESC,,Lescot,,42.69298020,2.91854980,,,1,,0,
1:CNLEVA,,Levant,,42.70524200,3.01746500,,,1,,0,
1:CNLIBE,,Liberté,,42.70534130,3.00384370,,,1,,0,
1:PZLIBE,,Liberté,,42.69721410,2.77411590,,,1,,0,
1:POLIBE,,Libertés,,42.64510690,2.87333710,,,1,,0,
